"","X","AttackLength","Attack_Source","Attack_Type","Behaviour","Comments","Count","Date","Day","F_CountNum","Further","Further_ANY","Further_Duplicate","Group","ID","Month","ObsNum","PreySpecies","RecordID","Site","SiteID","Species","Success","Successful.","Time","Year"
"1",2026,"","Unknown","Unknown","Perch on mudflat/stump","The falcon was seen on the mudflat eating a medium-sized bird","1.0","17-Aug-15",17,NA,"","","","FALCON","BB922015817_F3",8,3,"Medium-sized bird","BB922015817","Boundary Bay 92","BB92","PEFA","","Yes","17:55",2015
"2",1311,"unknown","unknown","unknown","4","9:30: With scope, as beginning my last scan looking west, I spot dark falcon chasing smallish shorebird flock west of pilings. Brief glimpse, too far to see result or keep in sight.","1.0","20-Jul-14",20,NA,"","","","FALCON","CROC2014720_F5",7,5,"","CROC2014720","Crockett Lake","CROC","falcon","","unknown","9:30",2014
"3",603,"2-5 attempts","From above","Low surprise","Attack","","2","",NA,2,"No","","","Falcon","EIDE2013818_F2",NA,NA,"Western Sandpiper","EIDE2013818","","EIDE","Peregrine Falcon","Yes","","'15:50",NA
"4",587,"","","Unknown","Attack","","Unknown","",NA,2,"Yes","","","Falcon","NJEN2013819_F2",NA,NA,"Western Sandpiper","NJEN2013819","","NJEN","Unknown","","","'10:45",NA
"5",717,"2-5 attempts","","Unknown","Attack","","1","",NA,1,"","Yes","","Falcon","NJEN2013819_F1",NA,NA,"","NJEN2013819","","NJEN","Unknown","","","'10:01",NA
"6",2040,"","","","3) Flying","did not see the attack again, but shorebirds were nervous","1.0","14-Aug-15",14,NA,"","","","FALCON","SANM2015814_F2",8,2,"","SANM2015814","San Malo","SANM","UNK","","","15:35",2015
"7",679,"","","","","","0","",NA,1,"","No","","Falcon","SQUA2013720_F1",NA,NA,"","SQUA2013720","","SQUA","Peregrine Falcon, Merlin","","","'10:00 am",NA
"8",680,"","","","","","","",NA,1,"","No","","Falcon","SQUA2013721_F1",NA,NA,"","SQUA2013721","","SQUA","Peregrine Falcon, Merlin","","","'11:00 am",NA
"9",595,"Single attempt","From cover","Unknown","Perch high","","1","",NA,2,"No","","","Falcon","SJEN2013818_F2",NA,NA,"WESA/LESA","SJEN2013818","","SJEN","Peregrine Falcon","No","","'11:38",NA
"10",618,"2-5 attempts","From cover","Low surprise, Stooping","Attack","","1","",NA,2,"No","","","Falcon","BB722013818_F2",NA,NA,"","BB722013818","","BB72","Peregrine Falcon","No","","1542",NA
"11",664,"","","","Flying","","1","",NA,1,"","No","","Falcon","MAPL2013720_F1",NA,NA,"","MAPL2013720","","MAPL","Peregrine Falcon","","","'14:00",NA
"12",670,"","","","Flying","","1","",NA,1,"","No","","Falcon","BB042013720_F1",NA,NA,"","BB042013720","","BB04","Peregrine Falcon","","","'15:05",NA
"13",2045,"","","","3) Flying","Just flying and distrubed them, no attack, no prey","1.0","16-Aug-15",16,NA,"","","","FALCON","SANM2015816_F2",8,2,"","SANM2015816","San Malo","SANM","MERL","","","17:24",2015
"14",726,"Single attempt","Unknown","Stooping","Flying","","1","",NA,1,"","No","","Falcon","SJEN2013819_F1",NA,NA,"Western Sandpiper, WESA/LESA","SJEN2013819","","SJEN","Peregrine Falcon","No","","'10:00",NA
"15",733,"2-5 attempts","From above","Low surprise","Attack","","1","",NA,1,"","Yes","","Falcon","EIDE2013818_F1",NA,NA,"","EIDE2013818","","EIDE","Peregrine Falcon","No","","'15:42",NA
