"","RecordID","SiteID","ID","Count"
"1","NANO2013720","NANO","NANO2013720_F1",1
"2","MAPL2013720","MAPL","MAPL2013720_F1",1
"3","BB042013720","BB04","BB042013720_F1",1
"4","SQUA2013721","SQUA","SQUA2013721_F1",1
"5","SANM2013720","SANM","SANM2013720_F1",1
"6","SANM2013721","SANM","SANM2013721_F1",1
"7","PEDD2013720","PEDD","PEDD2013720_F1",1
"8","ESQU2013817","ESQU","ESQU2013817_F1",1
"9","NJEN2013817","NJEN","NJEN2013817_F1",1
"10","NJEN2013819","NJEN","NJEN2013819_F1",1
"11","CROC2013818","CROC","CROC2013818_F1",1
"12","SJEN2013818","SJEN","SJEN2013818_F1",1
"13","SJEN2013819","SJEN","SJEN2013819_F1",1
"14","EIDE2013818","EIDE","EIDE2013818_F1",1
"15","BB042013817","BB04","BB042013817_F1",1
"16","PEDD2013818","PEDD","PEDD2013818_F1",1
"17","FANY2013818","FANY","FANY2013818_F1",1
"18","BB722013818","BB72","BB722013818_F1",1
"19","SDNY2013720","SDNY","SDNY2013720_F1",1
"20","SDNY2013817","SDNY","SDNY2013817_F1",1
"21","NANO2013720","NANO","NANO2013720_F2",2
"22","SANM2013720","SANM","SANM2013720_F2",1
"23","NJEN2013819","NJEN","NJEN2013819_F2",1
"24","SJEN2013818","SJEN","SJEN2013818_F2",1
"25","EIDE2013818","EIDE","EIDE2013818_F2",2
"26","BB722013818","BB72","BB722013818_F2",1
"27","NJEN2013819","NJEN","NJEN2013819_F3",1
"28","WITT2013720","WITT","WITT2013720_F1",1
"29","IONA2013819","IONA","IONA2013819_F1",1
"30","RBBP2013817","RBBP","RBBP2013817_F1",1
"31","CHEM2013818","CHEM","CHEM2013818_F1",1
"32","CHEM2013818","CHEM","CHEM2013818_F2",1
"33","EIDE2014719","EIDE","EIDE2014719_F1",1
"34","NANO2014719","NANO","NANO2014719_F1",1
"35","SANM2014720","SANM","SANM2014720_F1",1
"36","EIDE2014815","EIDE","EIDE2014815_F1",2
"37","BB922014816","BB92","BB922014816_F1",1
"38","ENBO2014817","ENBO","ENBO2014817_F1",1
"39","BB722014817","BB72","BB722014817_F1",1
"40","BB042014815","BB04","BB042014815_F1",1
"41","WITT2014719","WITT","WITT2014719_F1",1
"42","WITT2014817","WITT","WITT2014817_F1",1
"43","RBBP2014815","RBBP","RBBP2014815_F1",1
"44","RBBP2014816","RBBP","RBBP2014816_F1",1
"45","SANM2014816","SANM","SANM2014816_F1",1
"46","SANM2014817","SANM","SANM2014817_F1",1
"47","BB922014816","BB92","BB922014816_F2",1
"48","WITT2014719","WITT","WITT2014719_F2",1
"49","WITT2014817","WITT","WITT2014817_F2",1
