"","Collaborative","Date","Dogs","Equipment","NoActivity","Other","Power_Boats","Powered.Boats","Precipation","Precipitation","Ratio","Ratio_LESA","Ratio_WESA","RecordID","Sea_State","Site","SiteID","SiteName","Survey.Site","Tide_End","Tide_Start","Tide_State_End","Tide_State_Start","Time_End","Time_Start","Unpowered.Boats","Unpowered_Boat","Vis_Reason","Visibility","Walkers","Weather","YES_NO_WESA_Obs","Year","Month","Day"
"1","Independent",2015-07-19,"2","Both","","","","1","None","","","4.0","12.0","IONA2015719","Rippled","","IONA","Iona Island","","Mid-High","Low-tide","Mid-high ","Low-tide","18:30","16:00",NA,"","Glare","1km","15","Clear","I saw at least 1 WESA during the survey","2015","7","19"
"2","Independent",2015-07-17,"2","Both","","","","","None","","","6.0","10.0","SANM2015717","Calm","","SANM","San Malo","","","","Mid-high ","Mid-low ","18:00","15:30",NA,"","","1km","2","Clear","I saw at least 1 WESA during the survey","2015","7","17"
"3","Collaborative",2015-07-19,"","Both","","","","","None","","","","","SJEN2015719","Calm","","SJEN","Jensens Bay S","","","","High-tide","Mid-tide","14:30","13:00",NA,"","","500m","","Clear","I did not observe any Western Sandpipers during the entire survey","2015","7","19"
"4","Collaborative",2013-08-18,"","Both","","","","","None","","","3.0","12.0","FRCR2013818","Choppy","","FRCR","","French Creek","","","Mid-high ","Mid-tide","15:30","13:00",NA,"","","1km","1.0","Partly-Cloudy","I saw at least 1 WESA during the survey","2013","8","18"
"5","Collaborative",2014-08-16,"","Both Binoculars and Scope","No activity","","","","","None","0;0","","","PEDD2014816","Calm","Pedder Bay","PEDD","","","1.8 metres","1.7 metres","High-tide","Mid-high","0.645833333","0.541666667",NA,"","","1km","","Partly-Cloudy","I did not observe any Western Sandpipers during the entire survey","2014","8","16"
"6","Single Observer",2013-07-21,"","Both","","","","","","","","","","BBMB2013721","Rippled","","BBMB","","Boundary Bay Mud Bay","","","High-tide","Low-tide","16:30","14:25",NA,"","","1km","","","I saw at least 1 WESA during the survey","2013","7","21"
"7","Collaborative",2014-08-16,"5","Binoculars-only","","","","","","None","","","","BB922014816","Calm","Boundary Bay - 92nd","BB92","","","","","Mid-low","Low-tide","0.47916666700000005","0.375",NA,"","Other","500m","10","Overcast","I saw at least 1 WESA during the survey","2014","8","16"
"8","Single Observer",2013-08-16,"","Both","","","","","Rain","","","","","BBMB2013816","Choppy","","BBMB","","Boundary Bay Mud Bay","","","","","14:08","12:00",NA,"","","1km","","Partly-Cloudy","I did not observe any Western Sandpipers during the entire survey","2013","8","16"
"9","Single Observer",2013-08-17,"3.0","Both","","","","","","","","","","BBMB2013817","","","BBMB","","Boundary Bay Mud Bay","","","","","14:45","13:30",NA,"","","1km","6.0","Overcast","I did not observe any Western Sandpipers during the entire survey","2013","8","17"
"10","Collaborative",2013-08-18,"5.0","Both","","","3.0","","None","","","","","COBE2013818","Choppy","","COBE","","Columbia Beach","","","Mid-high ","Mid-tide","15:30","13:00",NA,"","","1km","13.0","Overcast","I saw at least 1 WESA during the survey","2013","8","18"
"11","Collaborative",2013-07-20,"","Both","","","","","None","","","","","FRCR2013720","Choppy","","FRCR","","French Creek","","","Mid-tide","Mid-low ","13:30","11:00",NA,"","","1km","","Clear","I saw at least 1 WESA during the survey","2013","7","20"
"12","",2013-07-20,"5 approximately","Binoculars-only","","","A few fishing boats","","","None","","","","WHIF2013720","Rippled","Whiffen Spit, Sooke","WHIF","","","Mid to high","Mid-low","Mid-high","Mid-low","'10:30am","'8:30am",NA,"","","1km","15","Fog","","2013","7","20"
"13","Single Observer",2015-08-17,"","","","","","","","","","","","BB042015817","","","BB04","Boundary Bay 104","","","","","","19:00","16:30",NA,"","","","","","I did not observe any Western Sandpipers during the entire survey","2015","8","17"
"14","Collaborative",2013-07-20,"","Both","","","","","None","","","","","RBBP2013720","Rough","","RBBP","","Roberts Bank","","","High-tide","Low-tide","16:30","14:30",NA,"","","500m","","Clear","I saw at least 1 WESA during the survey","2013","7","20"
"15","",2013-07-21,"","Both","","","","","None","","","","","RBBP2013721","Rough","","RBBP","","Roberts Bank","","","High-tide","Low-tide","16:45","15:00",NA,"","","500m","","Clear","I saw at least 1 WESA during the survey","2013","7","21"
"16","Single Observer",2015-07-18,"2","Both","","","","","None","","","0.0","","BBMB2015718","Rippled","","BBMB","Boundary Bay Mud Bay","","","","","Mid-low ","19:15","16:45",NA,"","Other","500m","12","Clear","","2015","7","18"
"17","Collaborative",2013-07-20,"2.0","Both","","","","","None","","","","","PIPE2013720","Calm","","PIPE","","Pipers Lagoon","","","High-tide","Low-tide","15:30","13:30",NA,"2.0","","1km","2.0","Clear","I did not observe any Western Sandpipers during the entire survey","2013","7","20"
"18","Single Observer",2015-07-18,"1","Both","","","","","None","","","","","SDNY2015718","Rippled","","SDNY","Sidney Island","","","","","Low-tide","16:30","14:00",3,"","","","3","Clear","I saw at least 1 WESA during the survey","2015","7","18"
"19","Single Observer",2013-07-19,"","Both","","","","","None","","","","","WITT2013719","Rippled","","WITT","","Wittys Lagoon","","","Mid-low ","Mid-high ","10:30","8:00",NA,"","","1km","","Clear","I saw at least 1 WESA during the survey","2013","7","19"
"20","Single Observer",2013-07-21,"","Both","","","","","","","","","","WITT2013721","","","WITT","","Wittys Lagoon","","","Mid-tide","Mid-high ","10:00","8:30",NA,"","","1km","","Clear","I did not observe any Western Sandpipers during the entire survey","2013","7","21"
"21","Single Observer",2013-08-18,"","Both","","","","","None","","","","","IONA2013818","Calm","","IONA","","Iona Island","","","","Mid-low ","14:45","13:00",NA,"","","1km","6.0","Overcast","I saw at least 1 WESA during the survey","2013","8","18"
"22","Collaborative",2013-08-17,"1.0","Both","","","","","None","","","3.0","7.0","FRCR2013817","Choppy","","FRCR","","French Creek","","","Mid-high ","Mid-high ","14:30","12:00",NA,"","","1km","2.0","Partly-Cloudy","I saw at least 1 WESA during the survey","2013","8","17"
"23","Collaborative",2013-08-18,"","Both","","","","","None","","","","","RBBP2013818","Choppy","","RBBP","","Roberts Bank","","","High-tide","Mid-high ","16:30","14:30",NA,"","","1km","","Overcast","I saw at least 1 WESA during the survey","2013","8","18"
"24","Collaborative",2013-08-17,"2.0","Both","","","","","Rain","","","","","PIPE2013817","Calm","","PIPE","","Pipers Lagoon","","","High-tide","Mid-tide","14:15","12:15",NA,"","","1km","10.0","Overcast","I saw at least 1 WESA during the survey","2013","8","17"
"25","Collaborative",2013-08-18,"","Both","","","","","","","","","","PIPE2013818","","","PIPE","","Pipers Lagoon","","","High-tide","Mid-tide","15:00","13:00",NA,"","","1km","","Overcast","I did not observe any Western Sandpipers during the entire survey","2013","8","18"
"26","Single Observer",2013-07-20,"6.0","Both","","","","","None","","","","","FANY2013720","Calm","","FANY","","Fanny Bay","","","","Low-tide","12:00","10:00",NA,"","","1km","10.0","Clear","I did not observe any Western Sandpipers during the entire survey","2013","7","20"
"27","Single Observer",2013-07-21,"1.0","Both","","","","","None","","","","","FANY2013721","Calm","","FANY","","Fanny Bay","","","High-tide","Mid-low ","16:00","14:00",NA,"","","1km","13.0","Clear","I did not observe any Western Sandpipers during the entire survey","2013","7","21"
