POINT_X,POINT_Y,SITEID,Name,lon,lat
489731.6962,5432723.117,RBBP,Roberts Bank_BrunswickPoint,-123.141,49.0473
484784.8462,5451171.077,IONA,Iona Island,-123.209,49.2131
475621.078,5385813.378,SDNY,Sidney Island,-123.331,48.6249
500195.5061,5461439.872,MAPL,Maplewood,-122.997,49.3057
289566.9843,5445244.852,NJEN,Jensens Bay -N,-125.884,49.124
453442.7097,5400651.083,COWC,Cowichan Bay,-123.633,48.7571
361766.9449,5503538.156,COMX,Comox Harbor,-124.916,49.6685
457414.5425,5355096.071,PEDD,Pedder Bay,-123.575,48.3476
406462.7017,5464952.182,SANM,San Malo,-124.287,49.3301
368566.6616,5484941.652,FANY,Fanny Bay,-124.815,49.5029
296914.5112,5442754.291,GRIC,Grice Bay,-125.783,49.1041
461770.1423,5359444.002,WITT,Whitty's Lagoon,-123.516,48.387
369858.6031,5483829.398,SHPO,Ship's Point,-124.797,49.4931
374610.2816,5481350.582,DEEP,Deep Bay,-124.731,49.4718
413574.3438,5458097.521,NANO,Nanoose Bay,-124.188,49.2695
446809.624,5356415.641,WHIF,Sooke--Whiffin Spit Park,-123.718,48.3587
214752.9911,5618364.689,ROGH,Rough Bay,-127.035,50.6472
450909.626,5415114.974,CHEM,Chemainus River Delta,-123.67,48.887
525687.9063,5335008.85,CROC,Crockett Lake,-122.655,48.1678
493670.6037,5216069.706,KENN,Kennedy Creek,-123.083,47.0981
463682.5835,5360292.946,ALHE,Albert's Head Lagoon,-123.491,48.3948
465685.4019,5364061.728,ESQU,Esquimalt Lagoon,-123.464,48.4288
430874.2462,5453025.113,PIPE,Pipers Lagoon,-123.949,49.2261
401268.1786,5467249.923,FRCR,French Creek,-124.359,49.35
217010.592,5615529.976,KALE,Malcom Island - Kavela Rd,-127.001,50.6229
289979.6116,5444151.365,SJEN,Jensens Bay -S,-125.878,49.1143
466398.6088,5367243.19,VRYL,View Royal,-123.454,48.4574
472707.4251,5380986.888,ISVI,Island View,-123.37,48.5814
545779.4236,5342205.486,EIDE,Eide Rd,-122.384,48.2314
541808.0432,5345574.626,ENBO,English Boom,-122.437,48.262
398002.0698,5468374.5,COBE,Admiral Tryon Boulevard Tidepool,-124.405,49.3595
486786.9867,5504786.094,SQUA,Squamish Estuary,-123.183,49.6954
496327.1417,5430245.886,BBSV,Boundary Bay -Seaview,-123.05,49.0251
498304.32,5433836.503,BB72,Boundary Bay 72,-123.023,49.0574
502332.2562,5435194.267,BB92,Boundary Bay 92,-122.968,49.0696
504761.2295,5435983.552,BB04,Boundary Bay 104,-122.935,49.0767
506420.8336,5436748.981,BB12,Boundary Bay 112,-122.912,49.0836
510024.7732,5437161.595,BBMB,Boundary Bay - Mud Bay,-122.863,49.0872
508725.6897,5434185.517,BBBS,Boundary Bay - Blackie Spit,-122.881,49.0605
486169.3345,5406587.739,WINT,Winter Cove,-123.188,48.8121
