"","SiteID","ID","RecordID","Time","Ratio","Ratio_LESA","Ratio_WESA","CountNum","Count","counts.cleaned","WESA_PEEPS"
"1","BB04","BB042013818_W1","BB042013818","'14:30","","","","1","15 at West end of area",15,""
"2","BB04","BB042013818_W2","BB042013818","'14:45","","","","2","15 at West end",15,""
"3","BB04","BB042013818_W3","BB042013818","'14:45","","","","3","600 at East end of area",600,""
"4","BB04","BB042013818_W4","BB042013818","'15:00","","","","4","15 at West end",15,""
"5","BB04","BB042013818_W5","BB042013818","'15:00","","","","5","600 at East end",600,""
"6","BB04","BB042013818_W6","BB042013818","'15:15","","","","6","300 at West end",300,""
"7","BB04","BB042013818_W7","BB042013818","'15:30","","","","7","280 at West end",280,""
"8","BB04","BB042013818_W8","BB042013818","'15:45","","","","8","300 at West end",300,""
"9","BB72","BB722014720_W1","BB722014720","0.510416667","0 LESA:>5000 WESA/peeps","","","1",">5500",5500,"Peeps (Non species specific)"
"10","BB72","BB722014720_W2","BB722014720","0.520833333","0 LESA:>5000 WESA/peeps","","","2",">5500",5500,""
"11","BB72","BB722014720_W3","BB722014720","0.53125","0 LESA:>5000 WESA/peeps","","","3","300+",300,""
"12","BB72","BB722014816_W1","BB722014816","0.375","","","","1","5/10 000",7500,"Peeps (Non species specific)"
"13","BB72","BB722014816_W2","BB722014816","0.38541666700000005","","","","2","5/10 000",7500,""
"14","COMX","COMX2013817_W1","COMX2013817","1045","","","","1","100-150",125,""
"15","CROC","CROC2014718_W4","CROC2014718","10:45","","2","67","4","[285]*  225",285,"WESA (plus 60 PEEPS sleeping)"
"16","CROC","CROC2014718_W6","CROC2014718","11:15","","2","67","6","[123]  73",123,"WESA (plus 50 PEEPS)"
"17","CROC","CROC2014718_W7","CROC2014718","11:30","","2","67","7","[165] 105",165,"WESA (plus 50 peeps sleeping among mud clots)"
"18","CROC","CROC2014718_W8","CROC2014718","11:45","","2","67","8","[127] 67",127,"WESA (plus 60 PEEPS feeding along west shore)"
"19","CROC","CROC2014718_W9","CROC2014718","12:00","","2","67","9","[130]  90",130,"PEEPS (plus 40 peeps far shore"
"20","CROC","CROC2014719_W1","CROC2014719","8:30","","8","152","1","[690] 260 Near (plus 430 Far)",690,"PEEPS"
"21","CROC","CROC2014719_W2","CROC2014719","8:45","","8","152","2","[675] 200 near (plus 475 far)",675,"WESA (plus PEEPS)"
"22","CROC","CROC2014719_W3","CROC2014719","9:00","","8","152","3","[786] 186 near (plus 600 far)",786,"WESA (plus PEEPS)"
"23","CROC","CROC2014719_W4","CROC2014719","9:15","","8","152","4","[895] 205 near (plus 690 far)",895,"WESA (plus PEEPS)"
"24","CROC","CROC2014719_W5","CROC2014719","9:30","","8","152","5","[899] 169 near (plus 730 far)",899,""
"25","CROC","CROC2014719_W6","CROC2014719","9:45","","8","152","6","[862] 152 near (plus 710 far)",862,""
"26","CROC","CROC2014719_W7","CROC2014719","10:00","","8","152","7","[840] 360 near (plus 480 far",840,""
"27","CROC","CROC2014719_W8","CROC2014719","10:15","","8","152","8","[1035] 275 near (plus 760 far)",1035,""
"28","CROC","CROC2014719_W9","CROC2014719","10:30","","8","152","9","[860] 190 near (plus 670 far)",860,""
"29","CROC","CROC2014720_W1","CROC2014720","7:30","","undetermined","undetermined","1","[1,515] 267 near (plus 1,250 far)",1515,"PEEPS"
"30","CROC","CROC2014720_W2","CROC2014720","7:45","","undetermined","undetermined","2","[1,510] 300 near plus 1,210 far",1510,"PEEPS"
"31","FRCR","FRCR2014816_W11","FRCR2014816","10:00","4 WESA; 1 LESA","","","11","3 WESA",3,""
"32","FRCR","FRCR2014817_W10","FRCR2014817","10:45 am","6 WESA; 1 LESA","","","10","6 WESA",6,""
"33","FRCR","FRCR2014817_W5","FRCR2014817","9:30","6 WESA; 1 LESA","","","5","4 WESA",4,""
"34","FRCR","FRCR2014817_W6","FRCR2014817","9:45","6 WESA; 1 LESA","","","6","6 WESA",6,""
"35","FRCR","FRCR2014817_W8","FRCR2014817","10:00","6 WESA; 1 LESA","","","8","4 WESA",4,""
"36","MAPL","MAPL2013818_W3","MAPL2013818","'16:15","","","","3","15+",15,""
"37","MAPL","MAPL2014817_W2","MAPL2014817","0.45833333299999995","5 WESA; 0 LESA","","","2","5 WESA",5,""
"38","MAPL","MAPL2014817_W3","MAPL2014817","0.46875","5 WESA; 0 LESA","","","3","5 WESA",5,""
"39","MAPL","MAPL2014817_W4","MAPL2014817","0.479166667","5 WESA; 0 LESA","","","4","5 WESA",5,""
"40","MAPL","MAPL2014817_W5","MAPL2014817","11:45","5 WESA; 0 LESA","","","5","5 WESA",5,""
"41","NANO","NANO2013721_W1","NANO2013721","'12:00","","","","1","Zero",0,""
"42","NJEN","NJEN2013818_W2","NJEN2013818","'10:15","","","","2","Unknown",NA,""
"43","PEDD","PEDD2013720_W3","PEDD2013720","830","","","","3","9 (see notes)",9,""
"44","SDNY","SDNY2013817_W10","SDNY2013817","1320","","","","10","54 WESA",54,""
"45","SDNY","SDNY2013818_W10","SDNY2013818","1415","","","","10","78 WESA",78,""
"46","SDNY","SDNY2013818_W11","SDNY2013818","1430","","","","11","78 WESA",78,""
"47","SDNY","SDNY2013818_W6","SDNY2013818","1315","","","","6","64 WESA",64,""
"48","SDNY","SDNY2013818_W7","SDNY2013818","1330","","","","7","64 WESA",64,""
"49","SDNY","SDNY2013818_W8","SDNY2013818","1345","","","","8","64 WESA",64,""
"50","SDNY","SDNY2013818_W9","SDNY2013818","1400","","","","9","69 WESA",69,""
"51","WINT","WINT2015814_W10","WINT2015814","2:15:00 PM","most common was  4 WESA; 2 LESA ","","","10","6: 4 WESA; 2 LESA",4,""
"52","WINT","WINT2015814_W11","WINT2015814","2:30:00 PM","most common was  4 WESA; 2 LESA ","","","11","6: 4 WESA; 2 LESA",4,""
"53","WINT","WINT2015814_W2","WINT2015814","12:15:00 PM","most common was  4 WESA; 2 LESA ","","","2","5 WESA",5,"Western Sandpipers Only"
"54","WINT","WINT2015814_W3","WINT2015814","12:30:00 PM","most common was  4 WESA; 2 LESA ","","","3","6:  4 WESA; 2 LESA",4,""
"55","WINT","WINT2015814_W4","WINT2015814","12:45:00 PM","most common was  4 WESA; 2 LESA ","","","4","1 LESA",0,""
"56","WINT","WINT2015814_W5","WINT2015814","1:00:00 PM","most common was  4 WESA; 2 LESA ","","","5","4: 2 WESA; 2 LESA",2,""
"57","WINT","WINT2015814_W6","WINT2015814","1:15:00 PM","most common was  4 WESA; 2 LESA ","","","6","4: 3 WESA; 1 LESA",3,""
"58","WINT","WINT2015814_W7","WINT2015814","1:30:00 PM","most common was  4 WESA; 2 LESA ","","","7","3: 2 WESA; 1 LESA",1,""
"59","WINT","WINT2015814_W8","WINT2015814","1:45:00 PM","most common was  4 WESA; 2 LESA ","","","8","5: 4 WESA; 1 LESA",4,""
"60","WINT","WINT2015814_W9","WINT2015814","2:00:00 PM","most common was  4 WESA; 2 LESA ","","","9","4: 3 WESA; 1 LESA",3,""
"61","WINT","WINT2015816_W1","WINT2015816","12:30:00 PM","3 WESA; 0 LESA","","","1","2 WESA",2,"Western Sandpipers Only"
"62","WINT","WINT2015816_W10","WINT2015816","2:45:00 PM","3 WESA; 0 LESA","","","10","3 WESA",3,"Western Sandpipers Only"
"63","WINT","WINT2015816_W11","WINT2015816","3:00:00 PM","3 WESA; 0 LESA","","","11","3 WESA",3,"Western Sandpipers Only"
"64","WINT","WINT2015816_W2","WINT2015816","12:45:00 PM","3 WESA; 0 LESA","","","2","2 WESA",2,"Western Sandpipers Only"
"65","WINT","WINT2015816_W3","WINT2015816","1:00:00 PM","3 WESA; 0 LESA","","","3","2 WESA",2,"Western Sandpipers Only"
"66","WINT","WINT2015816_W4","WINT2015816","1:15:00 PM","3 WESA; 0 LESA","","","4","3 WESA",3,"Western Sandpipers Only"
"67","WINT","WINT2015816_W5","WINT2015816","1:30:00 PM","3 WESA; 0 LESA","","","5","1 WESA",1,"Western Sandpipers Only"
"68","WINT","WINT2015816_W6","WINT2015816","1:45:00 PM","3 WESA; 0 LESA","","","6","1 WESA",1,"Western Sandpipers Only"
"69","WINT","WINT2015816_W7","WINT2015816","2:00:00 PM","3 WESA; 0 LESA","","","7","3 WESA",3,"Western Sandpipers Only"
"70","WINT","WINT2015816_W8","WINT2015816","2:15:00 PM","3 WESA; 0 LESA","","","8","2 WESA",2,"Western Sandpipers Only"
"71","WINT","WINT2015816_W9","WINT2015816","2:30:00 PM","3 WESA; 0 LESA","","","9","3 WESA",3,"Western Sandpipers Only"
"72","WINT","WINT2015817_W1","WINT2015817","1:30:00 PM","2 WESA; 0 LESA","","","1","2 WESA",2,"Western Sandpipers Only"
"73","WINT","WINT2015817_W10","WINT2015817","3:45:00 PM","2 WESA; 0 LESA","","","10","0 WESA;  0 LESA",0,""
