"","ID","RecordID","SiteID","counts.cleaned"
"1","BB722013720_W1","BB722013720","BB72",0
"2","ENBO2013721_W1","ENBO2013721","ENBO",17
"3","KALE2013720_W1","KALE2013720","KALE",0
"4","COMX2013720_W1","COMX2013720","COMX",0
"5","COMX2013721_W1","COMX2013721","COMX",0
"6","NANO2013720_W1","NANO2013720","NANO",0
"7","NANO2013721_W1","NANO2013721","NANO",0
"8","IONA2013719_W1","IONA2013719","IONA",0
"9","IONA2013720_W1","IONA2013720","IONA",0
"10","IONA2013721_W1","IONA2013721","IONA",0
"11","COWC2013719_W1","COWC2013719","COWC",0
"12","COWC2013720_W1","COWC2013720","COWC",0
"13","ESQU2013722_W1","ESQU2013722","ESQU",0
"14","MAPL2013719_W1","MAPL2013719","MAPL",0
"15","MAPL2013720_W1","MAPL2013720","MAPL",0
"16","MAPL2013721_W1","MAPL2013721","MAPL",0
"17","ISVI2013720_W1","ISVI2013720","ISVI",0
"18","ISVI2013721_W1","ISVI2013721","ISVI",6
"19","CROC2013720_W1","CROC2013720","CROC",500
"20","BB042013719_W1","BB042013719","BB04",0
"21","BB042013720_W1","BB042013720","BB04",0
"22","BB042013721_W1","BB042013721","BB04",50
"23","DEEP2013719_W1","DEEP2013719","DEEP",0
"24","DEEP2013720_W1","DEEP2013720","DEEP",0
"25","DEEP2013721_W1","DEEP2013721","DEEP",0
"26","WHIF2013721_W1","WHIF2013721","WHIF",0
"27","BB722013721_W1","BB722013721","BB72",0
"28","CROC2013721_W1","CROC2013721","CROC",325
"29","WINT2013720_W1","WINT2013720","WINT",0
"30","SQUA2013720_W1","SQUA2013720","SQUA",0
"31","SQUA2013721_W1","SQUA2013721","SQUA",0
"32","SHPO2013720_W1","SHPO2013720","SHPO",0
"33","SHPO2013721_W1","SHPO2013721","SHPO",0
"34","SHPO2013722_W1","SHPO2013722","SHPO",0
"35","SANM2013720_W1","SANM2013720","SANM",0
"36","SANM2013721_W1","SANM2013721","SANM",0
"37","WHIF2013720_W1","WHIF2013720","WHIF",0
"38","EIDE2013721_W1","EIDE2013721","EIDE",0
"39","PEDD2013720_W1","PEDD2013720","PEDD",0
"40","PEDD2013721_W1","PEDD2013721","PEDD",0
"41","ALHE2013719_W1","ALHE2013719","ALHE",0
"42","ALHE2013720_W1","ALHE2013720","ALHE",0
"43","ALHE2013720_W1","ALHE2013720","ALHE",0
"44","ALHE2013720_W1","ALHE2013720","ALHE",0
